Year,Area_Code,Prefecture,Area,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expenses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2009,R33000,okayama,Tyugoku,1949000,935000,1014000,1930000,267000,1191000,483000,16387,1,18948,29712,32346,10072,3597,17,32,1,1074,20252,39928,7131,112290,4157,56989,4088,54655,3250,35127,7878,971,26,159,286295,61734,20448,21601,13089,12834,42143,12643,28051,63530
2009,R34000,hiroshima,Tyugoku,2864000,1383000,1481000,2831000,391000,1795000,677000,25596,1,26992,49757,52964,15913,5503,16,32,2,1487,34187,54981,9537,161719,5537,82711,5627,75600,3944,52489,11691,923,24,223,315907,71029,22261,23516,14275,12761,39682,15529,31827,74787
2009,R35000,yamaguchi,Tyugoku,1459000,688000,771000,1447000,183000,872000,400000,11312,1,16995,24863,27584,7008,2697,16,32,1,2017,16945,25056,5262,78320,3291,40055,3102,36933,1424,16860,3663,1083,28,119,321706,65838,23587,21975,12546,12215,52941,11176,31514,78667
2009,R36000,tokushima,Shikoku,790000,375000,415000,786000,99000,481000,210000,5898,1,8719,10477,12515,3691,1518,17,31,3,1601,8297,14354,3299,42041,1924,22010,1821,21355,1560,11516,2500,958,17,104,294834,62982,18289,19430,11295,13763,39767,11999,30870,76119
2009,R37000,kagawa,Shikoku,999000,481000,518000,992000,135000,610000,254000,8366,1,10639,19122,19956,5140,1963,17,32,3,987,15289,20095,3624,57458,2111,28173,2166,26027,858,9191,2085,914,21,85,308221,63514,15363,20294,12842,14878,37795,11099,36413,84730
2009,R38000,ehime,Shikoku,1438000,676000,762000,1430000,184000,876000,376000,11507,1,15670,19913,22550,6946,2817,17,32,3,1303,18654,24114,5498,79234,3138,39902,3008,38034,1179,15755,3359,927,18,129,249976,60554,14792,19980,11067,10659,28955,9626,26687,56838
2009,R39000,kochi,Shikoku,769000,361000,408000,766000,93000,456000,218000,5415,1,9437,10341,12519,3306,1596,18,32,3,2063,4402,19946,3415,39829,2298,21410,2135,21408,849,7690,1683,948,24,125,316705,65845,25243,21495,10776,11412,56980,14168,29354,73282
2009,R40000,fukuoka,Kyusyu_Okinawa,5064000,2391000,2672000,5024000,702000,3241000,1111000,46084,1,44879,104136,103667,29419,11121,17,32,4,1692,64160,95046,15599,283523,9522,144361,8552,133684,8211,108055,22905,1016,22,407,298906,65680,21650,20936,13505,14261,36838,13004,30253,71395
2009,R41000,saga,Kyusyu_Okinawa,853000,401000,451000,849000,121000,524000,207000,7518,1,8831,16948,18857,4139,1489,17,33,2,1705,9190,20108,3349,52382,2217,27833,2172,27168,789,7622,1602,869,17,96,311653,65061,20045,22892,13322,14084,37273,11461,28643,89761
2009,R42000,nagasaki,Kyusyu_Okinawa,1434000,669000,765000,1427000,189000,873000,368000,11838,2,15491,25929,31815,6854,2564,17,32,4,1801,14148,31475,5717,82840,3681,45092,3544,45135,1750,17056,3770,949,17,136,264605,65242,12328,22007,11396,10372,31854,7992,24959,68661
2009,R43000,kumamoto,Kyusyu_Okinawa,1821000,855000,966000,1813000,251000,1099000,463000,16221,2,18505,30520,34781,9100,3450,18,34,2,1566,16240,47834,7115,103976,4204,55339,4018,52818,1693,26214,5809,868,18,180,289466,66059,16717,21992,14216,12607,36197,14644,31427,65492
2009,R44000,oita,Kyusyu_Okinawa,1200000,567000,634000,1192000,158000,721000,316000,9961,2,12528,21193,23473,6136,2378,17,32,3,1295,12519,21387,4587,65240,2746,34336,2808,34029,994,15283,3188,937,21,139,283895,64696,17182,19749,11987,11664,40709,9746,27291,71056
2009,R45000,miyazaki,Kyusyu_Okinawa,1138000,534000,603000,1134000,154000,688000,290000,10170,2,11959,21696,23982,5923,2485,18,31,3,2219,9849,28674,4329,66575,2928,35888,2725,34630,966,9998,2064,1001,22,128,243309,59052,19749,18241,8619,10173,33403,9039,22789,54770
2009,R46000,kagoshima,Kyusyu_Okinawa,1712000,799000,913000,1707000,236000,1022000,450000,14920,2,19498,31105,34862,8475,3326,19,33,5,1530,18927,34331,7749,96763,4706,52687,4680,53908,1420,16318,3837,914,17,234,311395,64065,18660,19853,14069,12340,42487,18325,30672,80405
2009,R47000,okinawa,Kyusyu_Okinawa,1385000,679000,706000,1377000,245000,895000,242000,16744,2,9923,26653,25852,8989,3579,23,33,14,1865,16992,32118,5689,101060,3648,51503,3818,49669,1245,18313,3906,832,14,81,258841,58119,24068,20465,8461,10025,30236,11786,21846,66657
2010,R01000,hokkaido,Hokkaido_Tohoku,5506419,2603345,2903074,5482650,657312,3482169,1358068,40158,1,55404,48784,57421,28389,12596,10,29,-6,1325,64890,62625,19884,274624,12565,145609,11471,144222,6483,80946,17576,1020,23,514,300961,64746,23750,23611,12895,11584,44827,13100,32980,63133
2010,R02000,aomori,Hokkaido_Tohoku,1373339,646141,727198,1367057,171842,843587,352768,9711,1,16030,19963,24995,5924,2679,11,31,-4,1570,9228,32932,5399,74754,3391,41203,3359,41639,1256,14854,3220,1047,13,88,250433,64016,14169,27266,9257,11535,31313,8267,24357,50936
2010,R03000,iwate,Hokkaido_Tohoku,1330147,634971,695176,1322417,168804,795780,360498,9745,1,15756,17893,22131,5724,2327,11,31,-5,1634,12616,25819,5399,71949,3276,38010,3179,39350,1356,11938,2544,911,19,80,283340,66158,24066,24107,10553,11841,34753,12082,27813,62864
2010,R04000,miyagi,Hokkaido_Tohoku,2348165,1139566,1208599,2325744,308201,1501638,520794,19126,1,21932,47358,47914,11972,4667,13,31,-1,1444,32024,27162,8255,128901,4860,65480,4667,63447,4541,50168,11022,967,17,119,287507,67004,12606,23276,11678,12633,33646,14567,34022,68051
2010,R05000,akita,Hokkaido_Tohoku,1085997,509926,576071,1078608,124061,639633,320450,6688,1,14288,12735,16463,4281,1795,12,31,-3,1891,8361,22332,3880,52503,2435,29411,2498,30048,960,8314,1789,984,16,61,276281,66638,7615,24867,11571,11241,38410,8685,30194,67735
2010,R06000,yamagata,Hokkaido_Tohoku,1168924,560643,608281,1161087,149759,694110,321722,8651,1,14084,13517,17124,5159,1887,13,34,-3,1419,11604,20400,4554,62972,2579,33642,2759,34642,1055,11218,2540,882,17,56,308540,69699,23079,27059,11062,10352,49516,15395,30973,61366
2010,R07000,fukushima,Hokkaido_Tohoku,2029064,984682,1044382,2012016,276069,1236458,504451,16126,2,22747,25611,31363,9582,3965,14,34,-1,1519,30026,26853,7775,117668,4718,61866,4678,61219,1202,15421,3112,985,14,115,289778,66164,14973,25375,10470,11761,36048,7189,31980,74937
2010,R08000,ibaraki,Kanto,2969770,1479779,1489991,2922821,399638,1891701,665065,23989,1,28615,50029,49085,15044,5693,15,33,-2,1531,40384,43730,10372,167945,6240,85938,5920,81626,2956,30439,6725,946,18,164,318633,66024,19426,22398,12807,12235,43423,14256,34725,81722
2010,R09000,tochigi,Kanto,2007683,996855,1010828,1964917,269823,1281274,438196,16473,1,19712,31940,33465,10616,3898,15,33,-2,1718,31554,29995,6984,112449,4227,56769,3912,56136,3359,19985,4246,940,19,92,333560,71859,15967,23746,13077,14049,48736,11350,39165,84103
2010,R10000,gumma,Kanto,2008068,988019,1020049,1964136,275225,1251608,470520,16023,1,20385,27335,28633,9679,3865,16,34,0,1491,22659,42274,7076,115864,4092,58748,3868,53939,1639,25016,5140,1078,15,120,300304,68237,13075,21347,12751,11186,42510,10629,35876,74347
