Year,Area_Code,Prefecture,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expeses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2009,R30000,wakayama,1008000,474000,534000,1003000,129000,607000,268000,7516,1.36,11736,12675,15179,4708,2028,16.9,31.6,2.9,1515.5,8895,19299,3971,56892,2511,30826,2347,29877,657,7230,1574,1025,14.4,82,260471,64105,13248,19390,10447,12346,30102,7847,27827,65862
2009,R31000,tottori,592000,282000,310000,588000,76000,362000,153000,4876,1.46,6636,9870,11723,2758,1150,15,30.1,0.4,1851.5,4603,16179,2532,32762,1465,17344,1490,17181,778,6019,1343,953,23.3,41,262639,63362,21608,21086,9232,10987,34962,8861,24015,59804
2009,R32000,shimane,721000,344000,377000,717000,91000,418000,209000,5601,1.55,8854,11101,13000,3220,1127,15,29.1,0.8,1615,5267,19969,3496,39009,1979,20744,1839,20523,778,6365,1365,895,22.3,49,288821,65735,21649,24108,11661,11864,36336,8216,27275,72428
2009,R33000,okayama,1949000,935000,1014000,1930000,267000,1191000,483000,16387,1.39,18948,29712,32346,10072,3597,16.6,31.9,1.4,1074,20252,39928,7131,112290,4157,56989,4088,54655,3250,35127,7878,971,26,159,286295,61734,20448,21601,13089,12834,42143,12643,28051,63530
2009,R34000,hiroshima,2864000,1383000,1481000,2831000,391000,1795000,677000,25596,1.47,26992,49757,52964,15913,5503,16.4,31.9,1.8,1486.5,34187,54981,9537,161719,5537,82711,5627,75600,3944,52489,11691,923,23.9,223,315907,71029,22261,23516,14275,12761,39682,15529,31827,74787
2009,R35000,yamaguchi,1459000,688000,771000,1447000,183000,872000,400000,11312,1.43,16995,24863,27584,7008,2697,15.8,32,0.5,2016.5,16945,25056,5262,78320,3291,40055,3102,36933,1424,16860,3663,1083,28.4,119,321706,65838,23587,21975,12546,12215,52941,11176,31514,78667
2009,R36000,tokushima,790000,375000,415000,786000,99000,481000,210000,5898,1.35,8719,10477,12515,3691,1518,16.9,31.3,3,1600.5,8297,14354,3299,42041,1924,22010,1821,21355,1560,11516,2500,958,17.3,104,294834,62982,18289,19430,11295,13763,39767,11999,30870,76119
2009,R37000,kagawa,999000,481000,518000,992000,135000,610000,254000,8366,1.48,10639,19122,19956,5140,1963,16.9,31.7,2.6,986.5,15289,20095,3624,57458,2111,28173,2166,26027,858,9191,2085,914,20.9,85,308221,63514,15363,20294,12842,14878,37795,11099,36413,84730
2009,R38000,ehime,1438000,676000,762000,1430000,184000,876000,376000,11507,1.41,15670,19913,22550,6946,2817,16.9,32,2.9,1302.5,18654,24114,5498,79234,3138,39902,3008,38034,1179,15755,3359,927,18.1,129,249976,60554,14792,19980,11067,10659,28955,9626,26687,56838
2009,R39000,kochi,769000,361000,408000,766000,93000,456000,218000,5415,1.29,9437,10341,12519,3306,1596,17.5,32.1,2.5,2062.5,4402,19946,3415,39829,2298,21410,2135,21408,849,7690,1683,948,24.1,125,316705,65845,25243,21495,10776,11412,56980,14168,29354,73282
2009,R40000,fukuoka,5064000,2391000,2672000,5024000,702000,3241000,1111000,46084,1.37,44879,104136,103667,29419,11121,17.3,31.6,3.5,1692,64160,95046,15599,283523,9522,144361,8552,133684,8211,108055,22905,1016,22.4,407,298906,65680,21650,20936,13505,14261,36838,13004,30253,71395
2009,R41000,saga,853000,401000,451000,849000,121000,524000,207000,7518,1.49,8831,16948,18857,4139,1489,16.9,33.1,1.6,1704.5,9190,20108,3349,52382,2217,27833,2172,27168,789,7622,1602,869,17,96,311653,65061,20045,22892,13322,14084,37273,11461,28643,89761
2009,R42000,nagasaki,1434000,669000,765000,1427000,189000,873000,368000,11838,1.5,15491,25929,31815,6854,2564,17.4,32.1,3.5,1801,14148,31475,5717,82840,3681,45092,3544,45135,1750,17056,3770,949,17.3,136,264605,65242,12328,22007,11396,10372,31854,7992,24959,68661
2009,R43000,kumamoto,1821000,855000,966000,1813000,251000,1099000,463000,16221,1.58,18505,30520,34781,9100,3450,17.5,33.8,2,1565.5,16240,47834,7115,103976,4204,55339,4018,52818,1693,26214,5809,868,18,180,289466,66059,16717,21992,14216,12607,36197,14644,31427,65492
2009,R44000,oita,1200000,567000,634000,1192000,158000,721000,316000,9961,1.5,12528,21193,23473,6136,2378,17,31.6,3,1294.5,12519,21387,4587,65240,2746,34336,2808,34029,994,15283,3188,937,20.6,139,283895,64696,17182,19749,11987,11664,40709,9746,27291,71056
2009,R45000,miyazaki,1138000,534000,603000,1134000,154000,688000,290000,10170,1.61,11959,21696,23982,5923,2485,17.8,31.4,3.2,2219,9849,28674,4329,66575,2928,35888,2725,34630,966,9998,2064,1001,21.5,128,243309,59052,19749,18241,8619,10173,33403,9039,22789,54770
2009,R46000,kagoshima,1712000,799000,913000,1707000,236000,1022000,450000,14920,1.56,19498,31105,34862,8475,3326,19,33.3,5,1530,18927,34331,7749,96763,4706,52687,4680,53908,1420,16318,3837,914,17,234,311395,64065,18660,19853,14069,12340,42487,18325,30672,80405
2009,R47000,okinawa,1385000,679000,706000,1377000,245000,895000,242000,16744,1.79,9923,26653,25852,8989,3579,23.4,32.7,14.2,1864.5,16992,32118,5689,101060,3648,51503,3818,49669,1245,18313,3906,832,13.7,81,258841,58119,24068,20465,8461,10025,30236,11786,21846,66657
2010,R01000,hokkaido,5506419,2603345,2903074,5482650,657312,3482169,1358068,40158,1.26,55404,48784,57421,28389,12596,9.8,29.1,-6.3,1325,64890,62625,19884,274624,12565,145609,11471,144222,6483,80946,17576,1020,22.8,514,300961,64746,23750,23611,12895,11584,44827,13100,32980,63133
2010,R02000,aomori,1373339,646141,727198,1367057,171842,843587,352768,9711,1.38,16030,19963,24995,5924,2679,11.1,30.6,-4.2,1570,9228,32932,5399,74754,3391,41203,3359,41639,1256,14854,3220,1047,12.9,88,250433,64016,14169,27266,9257,11535,31313,8267,24357,50936
2010,R03000,iwate,1330147,634971,695176,1322417,168804,795780,360498,9745,1.46,15756,17893,22131,5724,2327,11,31.4,-5.2,1634,12616,25819,5399,71949,3276,38010,3179,39350,1356,11938,2544,911,18.7,80,283340,66158,24066,24107,10553,11841,34753,12082,27813,62864
2010,R04000,miyagi,2348165,1139566,1208599,2325744,308201,1501638,520794,19126,1.3,21932,47358,47914,11972,4667,13.2,31.4,-1.4,1444,32024,27162,8255,128901,4860,65480,4667,63447,4541,50168,11022,967,17.1,119,287507,67004,12606,23276,11678,12633,33646,14567,34022,68051
2010,R05000,akita,1085997,509926,576071,1078608,124061,639633,320450,6688,1.31,14288,12735,16463,4281,1795,12.3,31.2,-2.7,1890.5,8361,22332,3880,52503,2435,29411,2498,30048,960,8314,1789,984,15.7,61,276281,66638,7615,24867,11571,11241,38410,8685,30194,67735
2010,R06000,yamagata,1168924,560643,608281,1161087,149759,694110,321722,8651,1.48,14084,13517,17124,5159,1887,12.5,33.6,-3.2,1418.5,11604,20400,4554,62972,2579,33642,2759,34642,1055,11218,2540,882,17,56,308540,69699,23079,27059,11062,10352,49516,15395,30973,61366
2010,R07000,fukushima,2029064,984682,1044382,2012016,276069,1236458,504451,16126,1.52,22747,25611,31363,9582,3965,13.8,34.1,-1.2,1518.5,30026,26853,7775,117668,4718,61866,4678,61219,1202,15421,3112,985,14.2,115,289778,66164,14973,25375,10470,11761,36048,7189,31980,74937
2010,R08000,ibaraki,2969770,1479779,1489991,2922821,399638,1891701,665065,23989,1.44,28615,50029,49085,15044,5693,14.5,32.6,-2.3,1530.5,40384,43730,10372,167945,6240,85938,5920,81626,2956,30439,6725,946,18,164,318633,66024,19426,22398,12807,12235,43423,14256,34725,81722
