Year,Area_Code,Prefecture,Area,Population,Population_M,Population_F,Populatioin_Japanese,Population_U15,Population_15to64,Population_O65,Number_of_Birth,Total_Fertility_Rate,Number_of_Death,Immigrants_Japanese,Out_Immigrant_Japanese,Marriage,Divorce,Temperature_Average,Temperature_Max,Temperature_Min,Precipitation,Kndergarten_Children_Number,Nursery_School_Children,Elementary_School_Teachers,Elementary_School_Students,Junior_High_School_Teachers,Junior_High_School_Students,High_School_Teachers,High_School_Students,University_Teachers,University_Students,University_Graduates,Waste_Per_Person,Recycling_Waste_Rate,Hospital,Consumption_Expeses,Food_Expenses,Housing_Expenses,Utility_Expenses,Clothing_Expenses,Healthcare_Expenses,Transportaion_Communication_Expenses,Education_Expenses,Entertaiment_Expenses,Other_Consumption_Expenses
2020,R33000,okayama,Tyugoku,1888432,908045,980387,1810900,229352,1032394,557991,13521,1,21788,27074,29057,7852,2986,17,36,2,1154,13087,47538,7574,98893,4100,50683,3959,51008,3934,39347,8378,931,25,145,262385,72021,18861,20653,9344,13493,36796,11895,21249,47279
2020,R34000,hiroshima,Tyugoku,2799702,1357156,1442546,2713163,352678,1580054,811931,19606,1,30244,42389,46568,11765,4233,17,35,4,2027,22254,61549,9771,149529,5513,74729,5253,69260,4127,55652,12546,877,20,206,287257,78956,16352,21780,8840,16707,40062,10419,26585,55305
2020,R35000,yamaguchi,Tyugoku,1342059,636736,705323,1313593,153608,709992,459957,8203,1,18477,21026,24321,4810,1988,16,35,1,2277,13873,26519,5055,66289,3008,33677,2855,32051,1472,18546,3901,982,33,114,286130,71864,15423,21938,10486,12254,50565,7907,25466,57070
2020,R36000,tokushima,Shikoku,719559,343265,376294,693084,77129,375657,238346,4521,1,9886,8579,10924,2609,1081,18,35,5,1644,4927,16060,3052,34671,1739,17397,1610,17801,1556,11867,2640,958,17,92,295661,76260,14281,21216,9315,16379,37376,10267,25284,72173
2020,R37000,kagawa,Shikoku,950244,459197,491047,920884,113757,518056,296533,6179,1,12183,15420,17247,3786,1498,17,36,3,1109,9188,23919,3545,49988,2115,25567,2069,25477,764,9129,2004,850,19,77,275267,72102,17718,20061,7986,11940,37944,7608,25313,61252
2020,R38000,ehime,Shikoku,1334841,633062,701779,1296806,153764,711738,434279,8102,1,18036,16749,19924,4903,2001,17,35,4,1662,10416,24935,4820,67607,2808,33235,2795,32547,1117,16254,3635,886,17,121,240210,67671,10921,19357,7596,11779,40192,11800,19692,40191
2020,R39000,kochi,Shikoku,691527,326531,364996,677762,74946,362200,241787,4082,1,9998,8366,10363,2440,1149,18,34,4,3239,2451,19545,2969,31918,2080,16999,2011,17646,1014,9086,1935,958,22,111,270206,73830,19723,20743,8406,12135,34980,9571,22399,57570
2020,R40000,fukuoka,Kyusyu_Okinawa,5135214,2430951,2704263,4923076,662179,2911353,1395142,38966,1,53273,97198,89390,22745,8955,18,35,5,2213,57337,115989,17711,280977,9903,136797,8456,125635,8849,110156,24350,946,21,393,317047,75372,34372,21330,10648,14537,51912,11720,27314,57701
2020,R41000,saga,Kyusyu_Okinawa,811442,384451,426991,796285,108241,443579,246061,6004,2,9963,14610,16404,3031,1235,18,35,3,2876,3807,22925,3414,44590,2120,23275,2039,23034,780,7741,1713,886,20,86,288604,73552,22378,22769,9356,15933,39818,7692,24579,60068
2020,R42000,nagasaki,Kyusyu_Okinawa,1312317,616912,695405,1296014,164303,706077,430353,9182,2,17646,20853,26853,4900,1976,18,33,5,2710,8402,37811,5401,69812,3273,35687,3117,35385,1706,17128,3743,972,16,120,253814,67610,23592,21706,7189,12207,32696,4760,19351,53610
2020,R43000,kumamoto,Kyusyu_Okinawa,1738301,822481,915820,1705205,228366,944198,540538,13011,2,21156,25844,29449,6793,2797,18,35,2,2468,8511,51833,7080,96934,4059,48218,3727,45401,1621,24771,5402,881,22,170,291734,71821,22257,19333,10486,14024,48918,10752,24046,57795
2020,R44000,oita,Kyusyu_Okinawa,1123852,533414,590438,1098735,135272,596527,369192,7582,2,14444,17259,19570,4406,1889,17,34,3,1860,8040,24986,4288,57705,2519,29212,2688,29937,1030,15278,3234,950,19,128,271369,71027,22212,19589,8271,13617,41656,6663,24237,52337
2020,R45000,miyazaki,Kyusyu_Okinawa,1069576,504763,564813,1047871,139773,568255,344543,7720,2,14140,16858,19340,4148,1905,18,34,4,2280,5700,31471,4265,60450,2758,30211,2600,29590,1088,9924,2179,968,17,120,261710,71144,16200,18597,7920,11260,44248,11939,22878,47126
2020,R46000,kagoshima,Kyusyu_Okinawa,1588256,748306,839950,1545763,205381,832194,505891,11638,2,21501,24748,28024,6131,2521,19,34,6,2978,9570,41481,7556,89738,4235,44912,4189,43928,1489,15432,3388,921,16,197,266228,70501,20650,19064,8009,14356,36322,8903,22061,53995
2020,R47000,okinawa,Kyusyu_Okinawa,1467480,722812,744668,1424749,243246,871154,324708,14943,2,12390,26958,25269,7376,3410,24,32,16,2481,9911,54795,6615,101918,3823,48763,3535,44037,1359,17932,3754,881,17,77,216202,66197,22333,19357,5351,9325,26494,6942,14661,36120
